Dozentennummer,ProsopID,Vollname,Nachname,Vorname,Geburt,Tod,Institution,Fakultaet,Typ,Beschreibung,Von,Bis,Verwandt
370,3.2.17,Steiger Jakob,Steiger,Jakob,1861-03-01,1934-06-28,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Realschule Herisau', 'Kaufmännische Lehre', 'Studium in Basel und Bern', 'Dr. jur. Bern', 'Redaktor der « Basler Nachrichten »', 'PD Verwaltungslehre schweizerische Finanzverwaltung Finanzwesen des Bundes und der Kantone', 'aoP Finanzhaushalt der Schweiz Export-und Verkehrspolitik der Schweiz', 'Ruhestand']","['1897-01-01', '1903-01-01', '1912-01-01', '1931-01-01']",[],[]
371,3.2.18,Röthlisberger Ernst,Röthlisberger,Ernst,1858-11-20,1926-01-29,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Burgdorf', 'Studium in Bern Montauban und Paris', 'Theologisches Staatsexamen Bern', 'Professor in Bogota ( Kolumbien )', 'Sekretär des internationalen Amtes für geistiges Eigentum', 'PD Literarisches und künstlerisches Urheberrecht Verlagsrecht gewerblicher Rechtsschutz Presserecht internationale Unionen', 'aoP Urheberrecht Presserecht internationale Unionen', 'Tod']","['1881-01-01', '1888-01-01', '1906-01-01', '1913-01-01', '1926-01-01']",['1885-01-01'],[]
372,3.2.19,Mutzner Paul,Mutzner,Paul,1881-05-05,,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Kantonsschule Chur', 'Studium in Lausanne Leipzig Bern', 'Dr. jur. Bern', 'Advokat in Chur', 'Adjunkt der Abteilung für Gesetzgebung und Rechtspflege im Eidg. Justiz-und Polizeidepartement', 'PD Deutsche und schweizerische Rechtsgeschichte deutsches und schweizerisches Privatrecht', 'aoP Internationales Privatrecht inklusive schweizerisches intertemporales Recht und schweizerisches Zivilrecht', 'oP Zürich']","['1907-01-01', '1913-01-01', '1916-01-01', '1918-01-01']",['1939-01-01'],[]
373,3.2.20,Volmar Friedrich,Volmar,Friedrich,1875-03-10,1945-01-11,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern Studium in Bern', 'Staatsexamen als Fürsprecher Bern', 'Dr. jur. Bern', 'Fürsprecher', 'Mitglied des bernischen Verwaltungsgerichtes', 'PD Verkehrsrecht Verkehrspolitik Verkehrsgeschichte öffentlich-rechtliches Gewerberecht', 'aoP', 'HonP ( da Wahl in den Regierungsrat )', 'Tod']","['1898-01-01', '1900-01-01', '1913-01-01', '1919-01-01', '1920-01-01', '1945-01-01']",[],['Sohn von aoP Paul Volmar ( 6. 2. 14 )']
374,3.2.21,Bertoni Brenno,Bertoni,Brenno,1860-08-07,1945-02-18,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Mittelschulen in Bellinzona und Lugano', 'Studium in Genf', 'Dr. jur. Genf', 'Advokat in Lugano / Ständerat', 'aoP Tessinisches Zivil-und Strafprozessrecht in italienischer Sprache', 'Demission', 'Advokat in Lugano', 'Ständerat']","['1882-01-01', '1921-01-01', '1928-01-01']",[],[]
375,3.2.22,Mouttet Henri,Mouttet,Henri,1883-12-07,1975-03-09,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Bern und Basel', 'Fürsprecher Bern', 'Dr. jur. Bern', 'Oberrichter Bern', 'aoP Französisches und schweizerisches Privatrecht', 'HonP ( da Wahl in den Regierungsrat )', 'Ruhestand']","['1909-01-01', '1921-01-01', '1928-01-01', '1954-01-01']",[],[]
376,3.2.23,Haab Robert,Haab,Robert,1893-05-01,1944-01-28,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Zürich', 'Studium in München Berlin Bern', 'Dr. jur. Bern', 'Schüler von Eugen Huber', 'Adjunkt Eidg. Justiz-und Polizeidepartement', 'PD Schuldbetreibungs-und Konkursrecht schweizerisches und deutsches Privatrecht', 'aoP Schweizerisches Privatrecht und Kirchenrecht', 'oP Basel']","['1916-01-01', '1921-01-01', '1927-01-01', '1929-01-01']",['1944-01-01'],[]
377,3.2.24,von Waldkirch Eduard,von Waldkirch,Eduard,1890-07-01,1972-02-05,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern Berlin Genf', 'Fürsprecher Bern', 'Dr. jur. Bern', 'Fürsprecher', 'stellvertretender Adjunkt der Justizabteilung des EJPD', 'PD Schweizerisches und allgemeines Staatsrecht und Völkerrecht', 'aoP Völkerrecht spezielle Gebiete aus dem Staatsrecht Kirchenrecht gewerblicher Rechtsschutz', 'Ruhestand']","['1914-01-01', '1915-01-01', '1918-01-01', '1927-01-01', '1960-01-01']",[],[]
378,3.2.25,Germann Oskar Adolf,Germann,Oskar Adolf,1889-08-19,1979-12-01,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Kantonsschule Frauenfeld', 'Studium in Zürich Leipzig München Wien', 'postgraduate in Brüssel London Berlin', 'Dr. jur. Zürich', 'Anwaltsexamen Thurgau', 'Schüler von Zürcher ( Zürich )', 'Experte beim Eidg. Volkswirtschaftsdepartement', 'PD Strafrecht und Rechtsphilosophie', 'aoP', 'Ruf nach Basel', 'oP Basel', 'Honorarprofessor Basel']","['1914-01-01', '1919-01-01', '1928-01-01', '1930-01-01', '1960-01-01']",['1960-01-01'],[]
379,3.2.26,Pauli Walter,Pauli,Walter,1887-02-02,1959-07-22,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Landwirtschaftliche Schule Custerhof Rheineck SG', 'Studium in Zürich ( ETH und Universität ) und Bern', 'Ing. agr. Zürich ( ETH )', 'Dr. jur. Zürich ( Universität ) Schüler von Laur', 'Assistent auf dem schweizerischen Bauernsekretariat', 'PD Landwirtschaftliche Betriebslehre', 'aoP', '+ Statistik', 'Ruhestand']","['1908-01-01', '1912-01-01', '1921-01-01', '1928-01-01', '1930-01-01', '1955-01-01']",[],[]
380,3.2.27,Schwab Fernand Eugen Friedrich,Schwab,Fernand Eugen Friedrich,1890-07-10,,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Solothurn', 'Banklehre', 'Studium in Zürich und Bern', 'Dr. jur. Bern', 'Schüler von Weyermann', 'Abteilungschef der Eidgenössischen Zentralstelle für Fremdenpolizei', 'Industrieller', 'PD Wirtschaftsgeschichte Handels-und Industrielehre', 'aoP']","['1917-01-01', '1921-01-01', '1928-01-01', '1934-01-01']",[],[]
381,3.2.28,De Filippis Alberto,De Filippis,Alberto,1897-01-01,1948-08-06,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Zürich und Bern Dr. jur.', 'Advokat in Lugano', 'aoP Tessinisches Recht ( in italienischer Sprache )', 'Tod']","['1929-01-01', '1948-01-01']",[],[]
382,3.2.29,Matti Hans,Matti,Hans,1887-10-21,1966-10-29,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern', 'Fürsprecher Bern', 'Dr. jur. Bern', 'Fürsprecher in Bern', 'PD Zivilprozessrecht', 'aoP', 'Ruhestand']","['1911-01-01', '1915-01-01', '1922-01-01', '1931-01-01', '1955-01-01']",[],['Bruder von oP Hermann Matti ( 4. 1. 70 )']
383,3.2.30,Rennefahrt Hermann,Rennefahrt,Hermann,1878-12-10,1968-09-30,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern Paris und Berlin', 'Fürsprecher Bern', 'Dr. jur. Bern', 'Schüler von Lotmar Gmür Huber und Geiser', 'Anwalt', 'aoP Bernische Rechtsgeschichte', 'Ruhestand']","['1902-01-01', '1903-01-01', '1931-01-01', '1951-01-01']",[],[]
384,3.2.31,Beck Emil,Beck,Emil,1888-11-25,1973-01-31,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Chur', 'Studium in Zürich Paris Bern', 'Dr. jur. Bern', 'Schüler von Eugen Huber', 'Sekretär im Eidg. Justiz-und Polizeidepartement', 'PD Schweizerisches und internationales Privatrecht', 'aoP', 'Ruhestand']","['1916-01-01', '1918-01-01', '1933-01-01', '1959-01-01']",[],[]
385,3.2.32,Weber Karl,Weber,Karl,1880-02-23,1961-10-22,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Basel', 'Studium in Basel', 'Mittelschullehrerexamen Basel', 'Dr. phil. Basel', 'PD Zürich', 'Titularprofessor Zürich', 'Bundestadtredaktor der « NZZ »', 'aoP Zeitungskunde', 'Ruhestand']","['1928-01-01', '1938-01-01', '1930-01-01', '1942-01-01', '1952-01-01']",['1955-01-01'],[]
386,3.2.33,Kellenberger Eduard,Kellenberger,Eduard,1889-12-04,1976-02-24,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Kantonsschule St. Gallen', 'Studium in München Paris London Zürich Basel', 'Dr. phil. Basel', 'Wirtschaftsredaktor / Bankpraxis', 'PD Nationalökonomie und Handelswissenschaften', 'aoP Geldtheorie und Währungspolitik', 'Ruhestand']","['1914-01-01', '1917-01-01', '1943-01-01', '1960-01-01']",[],[]
387,3.2.34,Flückiger Paul,Flückiger,Paul,1893-11-26,1973-02-28,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern Studium in Bern und Berlin', 'Fürsprecher', 'Dr. jur. Bern', 'Sekretär der Justizdirektion des Kantons Bern', 'PD Bernisches Zivil-und Notariatsrecht', 'aoP Bernisches Zivil-und Notariatsrecht bernische freiwillige Gerichtsbarkeit allgem. Verwaltungsrecht und Verwaltungsprozess', 'Ruhestand']","['1917-01-01', '1918-01-01', '1920-01-01', '1945-01-01', '1964-01-01']",[],[]
388,3.2.35,König Willy,König,Willy,1899-01-08,1982-01-14,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern', 'Fürsprecher Bern', 'Dr. jur. Bern', 'Vizedirektor Schweiz. Mobiliarversicherungsgesellschaft', 'PD Öffentliches und privates Versicherungsrecht', 'aoP', 'Ruhestand']","['1922-01-01', '1924-01-01', '1931-01-01', '1946-01-01', '1971-01-01']",[],[]
389,3.2.36,Bolla Augusto,Bolla,Augusto,1916-10-05,,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasien in Bellinzona und Lugano', 'Studium in Bern München Wien', 'Dr. jur. Bern', 'Anwaltspraxis in Bellinzona', 'aoP Tessinisches Recht und schweizerisches Zivilrecht in italienischer Sprache', 'Demission', 'Anwalt in Bellinzona']","['1938-01-01', '1948-01-01', '1967-01-01']",[],[]
390,3.2.37,Weber Max,Weber,Max,1897-08-02,1974-12-02,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Zürich und Genf', 'Dr. rer. pol. Zürich', 'Präsident des Verbandes schweizerischer Konsumvereine', 'aoP Finanzwissenschaft Sozialpolitik und Genossenschaftswesen', 'Ruhestand']","['1919-01-01', '1948-01-01', '1966-01-01']",[],[]
391,3.2.38,Meyer Hans Reinhard,Meyer,Hans Reinhard,1909-12-19,,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern London New York', 'Dr. rer. pol. Bern', 'Generalsekretär SBB', 'PD Verkehrswirtschaft', 'aoP Verkehrslehre und Verkehrspolitik', 'Ruhestand']","['1934-01-01', '1943-01-01', '1949-01-01', '1980-01-01']",[],[]
392,3.2.39,Roos Gottfried,Roos,Gottfried,1903-03-19,1976-06-06,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern', 'Fürsprecher Bern', 'Dr. jur. Bern', 'Direktionssekretär der Justizdirektion des Kantons Bern', 'PD Bernisches Verwaltungsrecht und Wirtschaftsrecht', 'aoP Allgemeine Theorie des Rechts Wirtschafts-und Verwaltungsrecht schweizerisches Bundesstaatsrecht', 'Ruhestand']","['1926-01-01', '1927-01-01', '1947-01-01', '1951-01-01', '1973-01-01']",[],[]
393,3.2.40,Schweingruber Edwin Karl,Schweingruber,Edwin Karl,1904-01-01,,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in Bern', 'Fürsprecher Bern', 'Dr. jur. Bern', 'Gerichtspräsident', 'PD Schweizerisches Arbeitsrecht', 'aoP', 'Ruhestand']","['1927-01-01', '1929-01-01', '1945-01-01', '1951-01-01', '1974-01-01']",[],[]
394,3.2.41,Krapf Kurt,Krapf,Kurt,1907-07-09,1963-09-04,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Kantonsschule St. Gallen', 'Studium in Genf London Berlin Zürich', 'Dr. oec. publ. Zürich', 'Sekretär des Schweiz. Fremdenverkehrsverbandes', 'Lektor Fremdenverkehrslehre', 'PD', 'aoP Theorie und Politik des Fremdenverkehrs', 'Tod']","['1932-01-01', '1943-01-01', '1948-01-01', '1953-01-01', '1963-01-01']",[],[]
395,3.2.42,Marti Hans,Marti,Hans,1915-01-14,,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern Haag ( Academie de droit international )', 'Fürsprecher Bern', 'Dr. jur. Bern', 'Notar', 'Fürsprecher und Notar', 'PD Bundesstaatsrecht', 'aoP Verfassungslehre Staatsrecht der Kantone vergleichendes Staatsrecht einzelne Gebiete des Bundesstaatsrechts bernisches Notariatsrecht und notarielle Praxis', '-']","['1939-01-01', '1940-01-01', '1942-01-01', '1944-01-01', '1953-01-01']",[],[]
396,3.2.43,Ulrich Hans,Ulrich,Hans,1919-11-12,,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Dr. rer. pol.', 'PD Betriebswirtschaftslehre besonders Organisationslehre', 'aoP', 'Ruf nach St. Gallen', 'oP Handelshochschule St. Gallen']","['1947-01-01', '1953-01-01']",[],[]
397,3.2.44,Frey Siegfried,Frey,Siegfried,1901-07-13,1967-03-06,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium in Zürich Mailand Bologna Basel', 'Dr. phil. Zürich Schüler von Karl Meyer ( Zürich )', 'Direktor Schweizerische Depeschenagentur', 'PD Wissenschaftliche Zeitungskunde und praktische Journalistik', 'aoP', 'Tod']","['1928-01-01', '1943-01-01', '1952-01-01', '1955-01-01', '1967-01-01']",[],[]
398,3.2.45,Patry Robert,Patry,Robert,1923-01-01,,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium in Genf', 'Dr. jur. Genf', 'aoP Rechtsenzyklopädie Grundzüge des Privatrechts des öffentlichen Rechts und spezielle Gebiete des Privat-und des öffentlichen Rechts', 'oP Genf', 'Bundesrichter']","['1953-01-01', '1955-01-01', '1964-01-01', '1962-01-01', '1974-01-01']",[],[]
399,3.2.46,Bindschedler Rudolf L.,Bindschedler,Rudolf L.,1915-07-08,,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Zürich', 'Studium in Zürich Paris', 'Dr. jur. Zürich', 'PD Völkerrecht', 'aoP', '-']","['1950-01-01', '1956-01-01']",[],[]
400,3.2.47,Probst Rudolf,Probst,Rudolf,1909-03-02,,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Bern', 'Studium in Bern und Paris', 'Fürsprecher Bern Dr. jur. Bern', 'Kammerschreiber Obergericht Bern', 'Sekretär der kant. Finanzdirektion Bern', 'Rechsabteilung Allgemeine Treuhand AG Bern', 'PD Finanz-und Wirtschaftsrecht', 'aoP Finanz-und Wirtschaftsrecht Verkehrspolitik', 'Ruhestand']","['1932-01-01', '1948-01-01', '1956-01-01', '1979-01-01']",[],[]
401,3.2.48,Schwenter Jürg J.,Schwenter,Jürg J.,1921-05-25,,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Bern', 'Studium in St. Gallen ( Handelshochschule ) Bern und Genf', 'Dr. rer. pol. Bern', 'Direktionsmitglied der J. R. Geigy AG', 'Basel', 'PD Spezielle Fragen der Betriebswirtschaftslehre besonders auf dem Gebiet des Aussenwirtschaftsverkehrs', 'aoP Betriebswirtschaftslehre mit besonderer Berücksichtigung der Marktbeziehungen und Finanzierung der Unternehmen', '-']","['1944-01-01', '1955-01-01', '1956-01-01']",[],[]
402,3.2.49,Schaller Francois-Xavier,Schaller,Francois-Xavier,1920-12-03,,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Porrentruy', 'Studium in Lausanne', 'Lic. es sc. ec. Lausanne', 'Lic. es sc. pol. Lausanne', 'Dr. es sc. ec. Lausanne', 'Dr. es sc. pol. Lausanne', 'Lehrer der Wirtschaftswissenschaften', 'PD Economie politique', 'aoP', '-', 'oP Lausanne']","['1943-01-01', '1944-01-01', '1946-01-01', '1950-01-01', '1954-01-01', '1959-01-01']",[],[]
403,3.2.50,Eichenberger Kurt,Eichenberger,Kurt,1922-06-16,,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Kantonsschule Aarau', 'Studium in Zürich Bern', 'Dr. jur. Bern', 'Fürsprecher Aargau', 'Schüler von Hans Huber', 'Oberrichter Aargau', 'PD Öffentliches Recht', 'aoP', 'Ruf nach Basel', 'oP Basel']","['1948-01-01', '1950-01-01', '1959-01-01', '1960-01-01', '1963-01-01']",[],[]
404,3.2.51,Rudolf Konrad,Rudolf,Konrad,1922-07-15,,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium Zürich', 'Studium in Zürich ( ETH )', 'Dipl. ing. agr. Zürich ( ETH )', 'Dr. sc. techn. Zürich ( ETH )', 'Stellvertretender Direktor des Bundesamtes für Landwirtschaft', 'PD Landwirtschaftliche Betriebslehre und Agrarpolitik', 'aoP', '-']","['1947-01-01', '1953-01-01', '1957-01-01', '1963-01-01']",[],[]
405,3.2.52,Atteslander Peter Max,Atteslander,Peter Max,1926-03-17,,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium in Zürich', 'Studium in Zürich', 'Dr. phil. Zürich', 'Schüler von Hans Barth Rene König Richard Weiss', 'Forschungsprofessor Cornwell University Ithaca N. Y. / USA', 'Forschungsleiter Institut für Soziologie Köln ( Prof. König )', 'PD Soziologie bes. Methodenlehre der empirischen Sozialforschung und der Gemeindesoziologie', 'aoP Soziologie bes. Betriebssoziologie und Methodenlehre der empirischen Sozialforschung', 'Ruf nach Augsburg', 'oP Augsburg']","['1952-01-01', '1954-01-01', '1960-01-01', '1964-01-01', '1972-01-01']",[],[]
406,3.2.53,Haefliger Arthur Robert,Haefliger,Arthur Robert,1919-02-08,,['Universität'],['rechtswissenschaftlich'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Gymnasium in Solothurn', 'Studium in Bern', 'Dr. jur. Bern', 'Fürsprecher', 'Oberrichter Solothurn', 'PD Strafrecht und Strafprozess', 'aoP Strafrecht und Strafprozess mit besonderer Berücksichtigung des Militärstrafrechts und Militärstrafprozessrechts sowie der Strafprozessrechte der Kantone Solothurn', 'Aargau und Luzern', 'Verzicht auf Lehrtätigkeit ( Arbeitsbelastung Bundesgericht )']","['1943-01-01', '1946-01-01', '1948-01-01', '1959-01-01', '1964-01-01', '1981-01-01']",[],[]
407,3.2.54,Jaeggi Urs,Jaeggi,Urs,1931-06-23,,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium in Genf Berlin Bern', 'lic. rer. pol. Bern', 'Dr. rer. pol. Bern', 'Schüler von R. F. Behrendt H. Schelsky', 'PD Soziologie', 'aoP', 'Ruf nach Bochum', 'oP Bochum', 'oP FU Berlin']","['1958-01-01', '1959-01-01', '1964-01-01', '1965-01-01', '1966-01-01', '1972-01-01']",[],[]
408,3.2.55,Risch Paul,Risch,Paul,1927-01-16,,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium Chur', 'Studium in Bern', 'lic. rer. pol. Bern', 'Dr. rer. pol. Bern', 'Schüler von A. Walther F. Marbach A. Amonn', 'Oberassistent Bern', 'Lektor Theorie und Politik des Fremdenverkehrs', 'PD', 'aoP Ausgewählte Fragen der Regionalpolitik', 'aoP Ausgewählte Fragen der Schweiz. Bankpolitik', '-', 'Direktor Kantonalbank Bern']","['1950-01-01', '1956-01-01', '1963-01-01', '1965-01-01', '1966-01-01', '1979-01-01']",[],[]
409,3.2.56,Hofstetter Josef Jakob,Hofstetter,Josef Jakob,1930-01-03,,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Gymnasium in Bern', 'Studium in Bern Hamburg Chicago', 'Fürsprecher', 'Dr. jur. Bern', 'Schüler von Alexander Beck', 'Oberassistent Bern', 'PD Römisches Recht und schweizerisches Privatrecht', 'aoP', 'Ruf nach Lausanne', 'aoP Lausanne', 'oP Lausanne']","['1956-01-01', '1960-01-01', '1966-01-01', '1967-01-01', '1972-01-01']",[],[]
410,3.2.57,Langenegger Ernst,Langenegger,Ernst,1921-11-14,,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Kaufmännische Berufsschule Bern', 'Gymnasium in Bern', 'Studium in Bern', 'Dr. rer. pol. Bern', 'Schüler von A. Walther', 'PD Betriebswirtschaftslehre besonders Rechnungswesen', 'aoP', '-']","['1957-01-01', '1962-01-01', '1968-01-01']",[],[]
411,3.2.58,Lüscher Kurt,Lüscher,Kurt,1935-07-06,,['Universität'],['rechtswissenschaftlich'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Lehrerseminar Luzern', 'Studium in Basel Bern Columbia University New York', 'lic. rer. pol. Bern', 'Dr. rer. pol. Bern', 'Schüler von R. F. Behrendt', 'Oberassistent Bern', 'PD Soziologie', 'aoP', 'Ruf nach Konstanz', 'oP Konstanz']","['1961-01-01', '1964-01-01', '1967-01-01', '1968-01-01', '1971-01-01']",[],[]
